code,Schooling_profile,First_Name,Surname,Gender,Age,Civil_Status,degree,Skill_experience,performance,Language,Religious_affiliation,Interest_Hobbies,Network,school1
11,"Willfield College after a four-year program in Chichester, USA",Auta,Sawaba,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
12,Covenant University,Auta,Benedict,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
13,University of Ibadan,Opeyemi,Sawaba,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
14,"Ahmadu Bello University, Zaira",Opeyemi,Sawaba,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
15,Covenant University,Yalwa,Benedict,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
16,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Edward,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
17,"Ahmadu Bello University, Zaira",Opeyemi,Benedict,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
18,Covenant University,Opeyemi,Edward,female,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
19,Covenant University,Yalwa,Benedict,male,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
20,"Belington College after a three-year degree program in Worcester, UK",Auta,William,male,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
21,"University of Nigeria, Nsukka",Mayowa,William,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
22,"University of Nigeria, Nsukka",Opeyemi,Sawaba,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
23,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Edward,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
24,"Willfield College after a four-year program in Chichester, USA",Kaka,William,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
25,"Ahmadu Bello University, Zaira",Kaka,Benedict,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
26,"University of Nigeria, Nsukka",Olisa,Sawaba,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
27,"University of Nigeria, Nsukka",Mayowa,William,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
28,Covenant University,Auta,William,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
29,"Belington College after a three-year degree program in Worcester, UK",Kaka,William,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
30,"Ahmadu Bello University, Zaira",Auta,Benedict,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
31,"Willfield College after a four-year program in Chichester, USA",Olisa,Benedict,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
32,"University of Nigeria, Nsukka",Olisa,Edward,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
33,"University of Nigeria, Nsukka",Auta,William,male,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
34,"Willfield College after a four-year program in Chichester, USA",Kaka,William,male,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
35,Covenant University,Opeyemi,Benedict,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
36,"University of Nigeria, Nsukka",Auta,George,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
37,Covenant University,Yalwa,Sawaba,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
38,"Belington College after a three-year degree program in Worcester, UK",Auta,William,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
39,University of Ibadan,Amadi,Sawaba,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
40,Covenant University,Opeyemi,George,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
41,"Ahmadu Bello University, Zaira",Auta,Edward,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
42,Covenant University,Olisa,George,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
43,"Belington College after a three-year degree program in Worcester, UK",Yalwa,Sawaba,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
44,"Willfield College after a four-year program in Chichester, USA",Kaka,Benedict,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
45,Covenant University,Olisa,Benedict,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
46,Covenant University,Amadi,Sawaba,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
47,University of Ibadan,Yalwa,Edward,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
48,"University of Nigeria, Nsukka",Yalwa,George,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
49,Covenant University,Yalwa,Sawaba,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
50,"Belington College after a three-year degree program in Worcester, UK",Olisa,Sawaba,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
51,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Sawaba,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
52,"Belington College after a three-year degree program in Worcester, UK",Yalwa,Benedict,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
53,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Sawaba,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
54,"Belington College after a three-year degree program in Worcester, UK",Mayowa,George,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
55,University of Ibadan,Mayowa,Edward,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
56,"Ahmadu Bello University, Zaira",Olisa,Edward,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
57,Covenant University,Amadi,Sawaba,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
58,"Belington College after a three-year degree program in Worcester, UK",Auta,George,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
59,Covenant University,Auta,William,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
60,"University of Nigeria, Nsukka",Opeyemi,George,male,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
61,"Willfield College after a four-year program in Chichester, USA",Yalwa,Benedict,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
62,University of Ibadan,Auta,Sawaba,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
63,University of Ibadan,Opeyemi,William,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
64,"University of Nigeria, Nsukka",Olisa,William,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
65,Covenant University,Yalwa,Sawaba,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
66,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Sawaba,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
67,"University of Nigeria, Nsukka",Auta,Sawaba,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
68,"Willfield College after a four-year program in Chichester, USA",Mayowa,William,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
69,Covenant University,Kaka,William,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
70,"University of Nigeria, Nsukka",Olisa,William,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
71,"Belington College after a three-year degree program in Worcester, UK",Kaka,William,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
72,Covenant University,Kaka,George,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
73,"University of Nigeria, Nsukka",Kaka,Benedict,female,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
74,University of Ibadan,Mayowa,William,male,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
75,Covenant University,Kaka,George,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
76,University of Ibadan,Mayowa,Sawaba,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
77,"University of Nigeria, Nsukka",Mayowa,William,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
78,"Belington College after a three-year degree program in Worcester, UK",Amadi,George,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
79,"Belington College after a three-year degree program in Worcester, UK",Olisa,Edward,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
80,"Belington College after a three-year degree program in Worcester, UK",Amadi,Edward,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
81,University of Ibadan,Yalwa,George,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
82,Covenant University,Mayowa,Edward,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
83,"Willfield College after a four-year program in Chichester, USA",Opeyemi,William,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
84,University of Ibadan,Amadi,William,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
85,Covenant University,Opeyemi,William,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
86,Covenant University,Olisa,Edward,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
87,"Belington College after a three-year degree program in Worcester, UK",Yalwa,Edward,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
88,"Belington College after a three-year degree program in Worcester, UK",Mayowa,William,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
89,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Sawaba,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
90,"Ahmadu Bello University, Zaira",Kaka,Sawaba,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
91,Covenant University,Amadi,Sawaba,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
92,"Belington College after a three-year degree program in Worcester, UK",Olisa,William,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
93,University of Ibadan,Opeyemi,George,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
94,Covenant University,Olisa,George,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
95,"Ahmadu Bello University, Zaira",Olisa,Benedict,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
96,"Willfield College after a four-year program in Chichester, USA",Amadi,Edward,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
97,"University of Nigeria, Nsukka",Mayowa,Benedict,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
98,"Ahmadu Bello University, Zaira",Kaka,Benedict,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
99,"University of Nigeria, Nsukka",Amadi,William,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
100,"University of Nigeria, Nsukka",Olisa,Benedict,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
101,"Ahmadu Bello University, Zaira",Olisa,William,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
102,University of Ibadan,Olisa,George,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
103,"Willfield College after a four-year program in Chichester, USA",Auta,Benedict,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
104,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Sawaba,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
105,"Ahmadu Bello University, Zaira",Auta,George,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
106,Covenant University,Yalwa,William,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
107,"University of Nigeria, Nsukka",Kaka,Sawaba,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
108,University of Ibadan,Opeyemi,George,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
109,University of Ibadan,Opeyemi,Sawaba,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
110,Covenant University,Yalwa,Sawaba,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
111,"University of Nigeria, Nsukka",Amadi,Benedict,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
112,"University of Nigeria, Nsukka",Olisa,Benedict,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
113,"Belington College after a three-year degree program in Worcester, UK",Kaka,Sawaba,male,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
114,"University of Nigeria, Nsukka",Yalwa,William,male,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
115,"Ahmadu Bello University, Zaira",Opeyemi,George,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
116,"Belington College after a three-year degree program in Worcester, UK",Yalwa,Sawaba,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
117,"University of Nigeria, Nsukka",Kaka,Benedict,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
118,University of Ibadan,Yalwa,Edward,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
119,"Belington College after a three-year degree program in Worcester, UK",Auta,Sawaba,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
120,University of Ibadan,Olisa,Edward,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
121,University of Ibadan,Olisa,Sawaba,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
122,University of Ibadan,Opeyemi,Benedict,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
123,Covenant University,Opeyemi,Edward,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
124,"Belington College after a three-year degree program in Worcester, UK",Kaka,Sawaba,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
125,"University of Nigeria, Nsukka",Yalwa,George,female,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
126,University of Ibadan,Mayowa,Benedict,male,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
127,"University of Nigeria, Nsukka",Amadi,Edward,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,0
128,"Willfield College after a four-year program in Chichester, USA",Amadi,Edward,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
129,"Willfield College after a four-year program in Chichester, USA",Amadi,George,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
130,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Edward,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,member of,1
131,"University of Nigeria, Nsukka",Mayowa,George,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
132,"Willfield College after a four-year program in Chichester, USA",Mayowa,George,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,1
133,"Ahmadu Bello University, Zaira",Mayowa,George,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
134,"University of Nigeria, Nsukka",Olisa,George,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
135,Covenant University,Mayowa,Sawaba,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
136,"Belington College after a three-year degree program in Worcester, UK",Mayowa,George,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,1
137,"Ahmadu Bello University, Zaira",Mayowa,Edward,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
138,Covenant University,Auta,Sawaba,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
139,"Willfield College after a four-year program in Chichester, USA",Kaka,William,male,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,1
140,"Ahmadu Bello University, Zaira",Auta,Benedict,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
141,"University of Nigeria, Nsukka",Mayowa,Edward,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks English fluently,prefers to spend weekends alone,playing football,member of,0
